"track","model","family","stripping","similarity_threshold","top_n","flag_combination","precision","recall","f1","accuracy","n_auto_mappings"
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,3,1,0.507,0.326,0.397,0.247,601
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,3,2,0.474,0.295,0.364,0.222,582
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,3,3,0.578,0.268,0.366,0.224,434
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,3,4,0.475,0.358,0.408,0.256,705
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,5,1,0.51,0.335,0.404,0.253,616
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,5,2,0.43,0.314,0.363,0.222,683
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,5,3,0.505,0.299,0.376,0.231,555
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,5,4,0.439,0.382,0.409,0.257,815
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,10,1,0.508,0.336,0.404,0.254,620
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,10,2,0.368,0.34,0.353,0.215,868
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,10,3,0.422,0.345,0.38,0.234,766
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,10,4,0.382,0.409,0.395,0.246,1003
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,15,1,0.509,0.337,0.406,0.254,621
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,15,2,0.341,0.364,0.352,0.214,1001
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,15,3,0.385,0.375,0.38,0.234,912
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,15,4,0.357,0.432,0.391,0.243,1136
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,20,1,0.51,0.34,0.408,0.257,625
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,20,2,0.321,0.376,0.346,0.21,1095
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,20,3,0.363,0.392,0.377,0.232,1012
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,20,4,0.339,0.445,0.385,0.238,1231
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,25,1,0.511,0.342,0.41,0.257,626
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,25,2,0.306,0.382,0.34,0.205,1171
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,25,3,0.345,0.402,0.371,0.228,1094
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,25,4,0.324,0.453,0.378,0.233,1308
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,30,1,0.512,0.343,0.411,0.258,627
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,30,2,0.291,0.391,0.334,0.2,1256
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,30,3,0.326,0.412,0.364,0.223,1183
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.95,30,4,0.31,0.461,0.371,0.228,1393
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,3,1,0.547,0.315,0.4,0.25,539
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,3,2,0.552,0.186,0.278,0.161,315
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,3,3,0.672,0.242,0.356,0.217,338
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,3,4,0.55,0.321,0.405,0.254,547
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,5,1,0.549,0.324,0.408,0.256,554
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,5,2,0.553,0.189,0.282,0.164,320
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,5,3,0.664,0.261,0.375,0.231,369
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,5,4,0.552,0.334,0.416,0.263,567
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,10,1,0.547,0.326,0.409,0.256,558
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,10,2,0.545,0.193,0.285,0.166,332
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,10,3,0.656,0.283,0.395,0.246,404
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,10,4,0.545,0.339,0.418,0.265,583
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,15,1,0.547,0.327,0.409,0.257,559
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,15,2,0.537,0.194,0.285,0.166,339
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,15,3,0.645,0.291,0.401,0.251,423
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,15,4,0.541,0.342,0.419,0.265,591
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,20,1,0.549,0.33,0.412,0.259,563
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,20,2,0.533,0.196,0.287,0.168,345
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,20,3,0.645,0.301,0.41,0.258,437
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,20,4,0.541,0.347,0.423,0.268,601
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,25,1,0.55,0.331,0.413,0.26,564
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,25,2,0.533,0.2,0.291,0.17,351
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,25,3,0.642,0.306,0.414,0.262,447
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,25,4,0.541,0.351,0.426,0.271,608
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,30,1,0.55,0.332,0.414,0.261,565
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,30,2,0.519,0.202,0.291,0.17,364
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,30,3,0.624,0.308,0.412,0.26,463
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.99,30,4,0.533,0.353,0.425,0.27,621
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,3,1,0.574,0.309,0.402,0.252,505
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,3,2,0.579,0.161,0.252,0.144,261
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,3,3,0.674,0.24,0.354,0.215,334
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,3,4,0.576,0.314,0.406,0.255,510
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,5,1,0.575,0.319,0.41,0.258,520
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,5,2,0.58,0.162,0.253,0.145,262
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,5,3,0.669,0.257,0.371,0.228,360
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,5,4,0.578,0.324,0.415,0.262,526
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,10,1,0.573,0.32,0.411,0.258,524
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,10,2,0.577,0.164,0.255,0.147,267
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,10,3,0.668,0.276,0.391,0.243,388
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,10,4,0.574,0.328,0.417,0.264,535
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,15,1,0.573,0.321,0.411,0.259,525
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,15,2,0.574,0.165,0.256,0.147,270
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,15,3,0.666,0.285,0.399,0.249,401
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,15,4,0.573,0.33,0.419,0.265,539
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,20,1,0.575,0.324,0.414,0.262,529
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,20,2,0.568,0.165,0.256,0.147,273
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,20,3,0.665,0.292,0.406,0.255,412
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,20,4,0.571,0.333,0.421,0.266,546
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,25,1,0.575,0.326,0.416,0.262,530
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,25,2,0.567,0.166,0.257,0.148,275
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,25,3,0.663,0.296,0.409,0.257,418
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,25,4,0.572,0.335,0.423,0.268,549
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,30,1,0.576,0.327,0.417,0.263,531
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,30,2,0.56,0.169,0.26,0.149,282
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,30,3,0.653,0.298,0.409,0.257,427
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.995,30,4,0.568,0.337,0.423,0.268,556
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,3,1,0.577,0.299,0.394,0.245,485
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,3,2,0.566,0.138,0.222,0.125,228
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,3,3,0.672,0.236,0.349,0.211,329
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,3,4,0.579,0.301,0.396,0.247,487
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,5,1,0.579,0.309,0.403,0.253,501
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,5,2,0.566,0.138,0.222,0.125,228
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,5,3,0.668,0.251,0.365,0.223,352
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,5,4,0.581,0.312,0.406,0.254,503
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,10,1,0.576,0.311,0.404,0.253,505
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,10,2,0.568,0.139,0.223,0.125,229
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,10,3,0.668,0.267,0.382,0.236,374
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,10,4,0.579,0.314,0.407,0.255,508
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,15,1,0.577,0.312,0.405,0.254,506
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,15,2,0.568,0.139,0.223,0.125,229
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,15,3,0.669,0.274,0.389,0.242,384
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,15,4,0.58,0.315,0.408,0.256,509
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,20,1,0.578,0.315,0.408,0.256,510
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,20,2,0.565,0.139,0.223,0.125,230
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,20,3,0.672,0.282,0.397,0.248,393
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,20,4,0.58,0.318,0.411,0.258,514
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,25,1,0.579,0.316,0.409,0.257,511
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,25,2,0.565,0.139,0.223,0.125,230
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,25,3,0.672,0.284,0.399,0.249,396
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,25,4,0.581,0.319,0.412,0.259,515
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,30,1,0.58,0.317,0.41,0.258,512
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,30,2,0.567,0.14,0.225,0.126,231
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,30,3,0.67,0.286,0.401,0.251,400
"10_9","ClinicalBERT-base","ClinicalBERT","base",0.999,30,4,0.582,0.321,0.414,0.261,517
"8_9","ClinicalBERT-base","ClinicalBERT","base",0.95,3,1,0.527,0.764,0.624,0.453,480
"8_9","ClinicalBERT-base","ClinicalBERT","base",0.95,3,2,0.485,0.731,0.583,0.412,499
"8_9","ClinicalBERT-base","ClinicalBERT","base",0.95,3,3,0.635,0.698,0.665,0.498,364
"8_9","ClinicalBERT-base","ClinicalBERT","base",0.95,3,4,0.472,0.792,0.591,0.42,555
"8_9","ClinicalBERT-base","ClinicalBERT","base",0.95,5,1,0.526,0.764,0.623,0.453,481
"8_9","ClinicalBERT-base","ClinicalBERT","base",0.95,5,2,0.447,0.74,0.557,0.386,548
"8_9","ClinicalBERT-base","ClinicalBERT","base",0.95,5,3,0.564,0.719,0.632,0.462,422
"8_9","ClinicalBERT-base","ClinicalBERT","base",0.95,5,4,0.438,0.801,0.566,0.395,605
"8_9","ClinicalBERT-base","ClinicalBERT","base",0.95,10,1,0.523,0.764,0.621,0.45,484
"8_9","ClinicalBERT-base","ClinicalBERT","base",0.95,10,2,0.398,0.746,0.519,0.351,620
"8_9","ClinicalBERT-base","ClinicalBERT","base",0.95,10,3,0.483,0.737,0.584,0.412,505
"8_9","ClinicalBERT-base","ClinicalBERT","base",0.95,10,4,0.394,0.807,0.529,0.36,677
"8_9","ClinicalBERT-base","ClinicalBERT","base",0.95,15,1,0.522,0.764,0.62,0.449,485
"8_9","ClinicalBERT-base","ClinicalBERT","base",0.95,15,2,0.369,0.746,0.494,0.328,670
"8_9","ClinicalBERT-base","ClinicalBERT","base",0.95,15,3,0.439,0.74,0.551,0.38,558
"8_9","ClinicalBERT-base","ClinicalBERT","base",0.95,15,4,0.367,0.807,0.505,0.338,727
"8_9","ClinicalBERT-base","ClinicalBERT","base",0.95,20,1,0.522,0.764,0.62,0.449,485
"8_9","ClinicalBERT-base","ClinicalBERT","base",0.95,20,2,0.348,0.746,0.475,0.311,710
"8_9","ClinicalBERT-base","ClinicalBERT","base",0.95,20,3,0.407,0.743,0.526,0.357,604
"8_9","ClinicalBERT-base","ClinicalBERT","base",0.95,20,4,0.348,0.807,0.486,0.321,767
"8_9","ClinicalBERT-base","ClinicalBERT","base",0.95,25,1,0.522,0.764,0.62,0.449,485
